commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
Hawaii Amakihi,Chlorodrepanis virens,/quiz/audio/hawaii-amakihi.mp3,/quiz/spectrograms/hawaii-amakihi.png,27323,Daniel Lane,,medium,,United States,"Palila mangagement area, W slope Mauna Kea, Hawai'i (Big Island), Haw"
Apapane,Himatione sanguinea,/quiz/audio/apapane.mp3,/quiz/spectrograms/apapane.png,27369,Daniel Lane,,medium,,United States,"Hakalau NWR, E slope Mauna Kea, Hawai'i (Big Island), HA "
Iiwi,Drepanis coccinea,/quiz/audio/iiwi.mp3,/quiz/spectrograms/iiwi.png,27347,Daniel Lane,,medium,,United States,"Hakalau NWR, E slope Mauna Kea, Hawai'i (Big Island), HA"
Hawaii Elepaio,Chasiempis sandwichensis,/quiz/audio/hawaii-elepaio.mp3,/quiz/spectrograms/hawaii-elepaio.png,175246,Dan Lane,,medium,,United States,"Palila mangagement area, W slope Mauna Kea, Hawai'i (Big Island), Haw"
Omao,Myadestes obscurus,/quiz/audio/omao.mp3,/quiz/spectrograms/omao.png,91396,Ryan P. O&#039;Donnell,,medium,,United States,"Pu'u O'o trail, E slope Mauna Kea, Hawai'i (Big Is), HA"
Akiapolaau,Hemignathus wilsoni,/quiz/audio/akiapolaau.mp3,/quiz/spectrograms/akiapolaau.png,144826,Eric VanderWerf,,medium,,United States,"Hakalau Forest NWR, Hawaii, Hawaii"
Hawaii Akepa,Loxops coccineus,/quiz/audio/hawaii-akepa.mp3,/quiz/spectrograms/hawaii-akepa.png,794965,Viral joshi,,medium,,United States,"Hilo, Hawaii County, Hawaii"
Hawaii Creeper,Loxops mana,/quiz/audio/hawaii-creeper.mp3,/quiz/spectrograms/hawaii-creeper.png,175502,Dan Lane,,medium,,United States,"Hakalau NWR, E slope Mauna Kea, Hawai'i (Big Island), HA"
Palila,Loxioides bailleui,/quiz/audio/palila.mp3,/quiz/spectrograms/palila.png,146104,Tim Burr,,medium,,United States,"Waimea, Hawaii, Hawaii"
Hawaiian Hawk,Buteo solitarius,/quiz/audio/hawaiian-hawk.mp3,/quiz/spectrograms/hawaiian-hawk.png,124707,Brooks Rownd,,medium,,United States,"Road R "Tom's Trail", Upper Waiakea Forest Reserve, Hawaii County, Hawaii"
