commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
Kauai Elepaio,Chasiempis sclateri,/quiz/audio/kauai-elepaio.mp3,/quiz/spectrograms/kauai-elepaio.png,27337,Daniel Lane,,medium,,United States,"Alaka'i Swamp trail, Kaua'i, Hawaii"
Kauai Amakihi,Chlorodrepanis stejnegeri,/quiz/audio/kauai-amakihi.mp3,/quiz/spectrograms/kauai-amakihi.png,805487,Melissa Hafting,,medium,,United States,"Kauai County, Hawaii"
Anianiau,Magumma parva,/quiz/audio/anianiau.mp3,/quiz/spectrograms/anianiau.png,210206,Ross Gallardy,,medium,,United States,"Alaka'i Swamp trail, Kaua'i, Hawaii   "
Apapane,Himatione sanguinea,/quiz/audio/apapane.mp3,/quiz/spectrograms/apapane.png,219959,Patrick Blake,,medium,,United States,"Alaka'i Wilderness Preserve, Halepa'akai Stream, Kauai, Hawaii"
Iiwi,Drepanis coccinea,/quiz/audio/iiwi.mp3,/quiz/spectrograms/iiwi.png,219960,Patrick Blake,,medium,,United States,"Alaka'i Wilderness Preserve, Halepa'akai Stream, Kauai, Hawaii"
Hawaiian Goose,Branta sandvicensis,/quiz/audio/hawaiian-goose.mp3,/quiz/spectrograms/hawaiian-goose.png,503262,Phoenix Birder,,medium,,United States,"Hanalei NWR, Kauai County, Hawaii"
Hawaiian Coot,Fulica alai,/quiz/audio/hawaiian-coot.mp3,/quiz/spectrograms/hawaiian-coot.png,235002,Dan Lane,,medium,,United States,"Hanalei NWR, Kauai County, Hawaii"
Hawaiian Duck,Anas wyvilliana,/quiz/audio/hawaiian-duck.mp3,/quiz/spectrograms/hawaiian-duck.png,234981,Dan Lane,,medium,,United States,"Kahuku, Honolulu County, Hawaii"
Short-eared Owl,Asio flammeus,/quiz/audio/short-eared-owl.mp3,/quiz/spectrograms/short-eared-owl.png,322371,James Bradley,,medium,,Canada,"Revelstoke, Columbia-Shuswap, British Columbia"
Warbling White-eye,Zosterops japonicus,/quiz/audio/warbling-white-eye.mp3,/quiz/spectrograms/warbling-white-eye.png,27339,Daniel Lane,,medium,,United States,"Alaka'i Swamp trail, Kaua'i, Hawaii    "
Common Myna,Acridotheres tristis,/quiz/audio/common-myna.mp3,/quiz/spectrograms/common-myna.png,102123,Andrew Spencer,,medium,,United States,"Kendall, Miami-Dade Co., Florida"
Red-crested Cardinal,Paroaria coronata,/quiz/audio/red-crested-cardinal.mp3,/quiz/spectrograms/red-crested-cardinal.png,209514,Ross Gallardy,,medium,,United States,"Ewa Beach, Honolulu County, Hawaii"
Northern Cardinal,Cardinalis cardinalis,/quiz/audio/northern-cardinal.mp3,/quiz/spectrograms/northern-cardinal.png,725506,Bobby Wilcox,,medium,,United States,"Waterman Creek, Yavapai County, Arizona"
House Finch,Haemorhous mexicanus,/quiz/audio/house-finch.mp3,/quiz/spectrograms/house-finch.png,328235,Thomas G. Graves,,medium,,United States,"Makawao, Maui County, Hawaii"
Northern Mockingbird,Mimus polyglottos,/quiz/audio/northern-mockingbird.mp3,/quiz/spectrograms/northern-mockingbird.png,696318,Ed Pandolfino,,medium,,United States,"Sacramento, Sacramento County, California"
Japanese Bush Warbler,Horornis diphone,/quiz/audio/japanese-bush-warbler.mp3,/quiz/spectrograms/japanese-bush-warbler.png,27362,Daniel Lane,,medium,,United States,"Koke'e area, Kaua'i, Hawaii "
Rose-ringed Parakeet,Psittacula krameri,/quiz/audio/rose-ringed-parakeet.mp3,/quiz/spectrograms/rose-ringed-parakeet.png,310531,Bram Piot,,medium,,Senegal,"Gandiolais, Saint-Louis"
Greater Necklaced Laughingthrush,Pterorhinus pectoralis,/quiz/audio/greater-necklaced-laughingthrush.mp3,/quiz/spectrograms/greater-necklaced-laughingthrush.png,426567,Peter Boesman,,medium,,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh"
Spotted Dove,Spilopelia chinensis,/quiz/audio/spotted-dove.mp3,/quiz/spectrograms/spotted-dove.png,203400,Albert Lastukhin &amp; Alexandr Shirjaev,,medium,,Mauritius,"Curepipe, Plaines Wilhems"
Zebra Dove,Geopelia striata,/quiz/audio/zebra-dove.mp3,/quiz/spectrograms/zebra-dove.png,589483,Simon Elliott,,medium,,Seychelles,"Mahé, Baie Lazare"
Red Junglefowl,Gallus gallus,/quiz/audio/red-junglefowl.mp3,/quiz/spectrograms/red-junglefowl.png,598078,Manuel Grosselet,,medium,,Mexico,"Oaxaca,  San Augustin Etla, terreno de Golf"
Saffron Finch,Sicalis flaveola,/quiz/audio/saffron-finch.mp3,/quiz/spectrograms/saffron-finch.png,562697,Kent Livezey,,medium,,Panama,"Costa del Este, near Panama City"
Erckel's Spurfowl,Pternistis erckelii,/quiz/audio/erckel-s-spurfowl.mp3,/quiz/spectrograms/erckel-s-spurfowl.png,267205,Andrew Spencer,,medium,,Ethiopia,"Portuguese Bridge, Debre Libanos"
Black Francolin,Francolinus francolinus,/quiz/audio/black-francolin.mp3,/quiz/spectrograms/black-francolin.png,777953,Marcin Sołowiej,,medium,,Cyprus,"Akamas Peninsula NP, Paphos"
Scaly-breasted Munia,Lonchura punctulata,/quiz/audio/scaly-breasted-munia.mp3,/quiz/spectrograms/scaly-breasted-munia.png,862882,Lim Ying Hien,,medium,,Malaysia,"Chui Chak Paddyfields, Perak"
Western Meadowlark,Sturnella neglecta,/quiz/audio/western-meadowlark.mp3,/quiz/spectrograms/western-meadowlark.png,503278,Phoenix Birder,,medium,,United States,"Hanalei NWR, Kauai County, Hawaii"
White-rumped Shama,Copsychus malabaricus,/quiz/audio/white-rumped-shama.mp3,/quiz/spectrograms/white-rumped-shama.png,1093909,Ding Li Yong,,medium,,Malaysia,
Chinese Hwamei,Garrulax canorus,/quiz/audio/chinese-hwamei.mp3,/quiz/spectrograms/chinese-hwamei.png,1080673,JJSUN,,medium,,China,
