commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
American Robin,Turdus migratorius,/quiz/audio/american-robin.mp3,/quiz/spectrograms/american-robin.png,1093668,Paul Driver,,easy,2,United States,"Elkins Park, PA"
Northern Cardinal,Cardinalis cardinalis,/quiz/audio/northern-cardinal.mp3,/quiz/spectrograms/northern-cardinal.png,1093667,Paul Driver,true,easy,2,United States,"Elkins Park, PA"
Blue Jay,Cyanocitta cristata,/quiz/audio/blue-jay.mp3,/quiz/spectrograms/blue-jay.png,1014208,Stanislas Wroza,true,medium,2,Canada,"Stationnement des dunes (near  Tadoussac), Côte-Nord, Québec"
House Sparrow,Passer domesticus,/quiz/audio/house-sparrow.mp3,/quiz/spectrograms/house-sparrow.png,1092251,Olivier SWIFT, Hélène CARTAUD,,easy,2,France,"Arrondissement de Vannes (near  Malestroit), Morbihan, Bretagne"
Mourning Dove,Zenaida macroura,/quiz/audio/mourning-dove.mp3,/quiz/spectrograms/mourning-dove.png,1013012,Stanislas Wroza,true,easy,2,Canada,"Marais Léon-Provancher, Portneuf, Québec"
Song Sparrow,Melospiza melodia,/quiz/audio/song-sparrow.mp3,/quiz/spectrograms/song-sparrow.png,1092304,Scott Crabtree,true,medium,2,United States,"Patagonia, Santa Cruz County, Arizona"
White-throated Sparrow,Zonotrichia albicollis,/quiz/audio/white-throated-sparrow.mp3,/quiz/spectrograms/white-throated-sparrow.png,234159,William Whitehead,,medium,2,United States,"Park Slope, Brooklyn, Kings County, New York"
Red-winged Blackbird,Agelaius phoeniceus,/quiz/audio/red-winged-blackbird.mp3,/quiz/spectrograms/red-winged-blackbird.png,1089594,Ed Pandolfino,,easy,2,United States,"Deer Creek Hills Preserve, Sacramento County, California"
Common Grackle,Quiscalus quiscula,/quiz/audio/common-grackle.mp3,/quiz/spectrograms/common-grackle.png,1014942,Stanislas Wroza,true,easy,2,Canada,"La Haute-Yamaska (near  Granby), Estrie, Québec"
House Finch,Haemorhous mexicanus,/quiz/audio/house-finch.mp3,/quiz/spectrograms/house-finch.png,1089801,Manuel Grosselet,true,medium,3,United States,"Seaside, Monterey County, California"
Dark-eyed Junco,Junco hyemalis,/quiz/audio/dark-eyed-junco.mp3,/quiz/spectrograms/dark-eyed-junco.png,1083920,Greg Irving,,medium,2,United States,"Dungeness Recreation Area, Clallam County, Washington"
Eastern Towhee,Pipilo erythrophthalmus,/quiz/audio/eastern-towhee.mp3,/quiz/spectrograms/eastern-towhee.png,1081945,David Darrell-Lambert,true,easy,2,Canada,"Point Pelee National Park, Essex County, Ontario"
Chipping Sparrow,Spizella passerina,/quiz/audio/chipping-sparrow.mp3,/quiz/spectrograms/chipping-sparrow.png,1081943,David Darrell-Lambert,true,medium,2,Canada,"Hillman Marsh Conservation Area (near  Leamington), Essex County, Ontario"
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,1093532,Mario Reyes Jr,true,easy,2,United States,"Arburetum, Lexington, Fayette County, Kentucky"
Black-capped Chickadee,Poecile atricapillus,/quiz/audio/black-capped-chickadee.mp3,/quiz/spectrograms/black-capped-chickadee.png,994313,William Whitehead,,easy,2,United States,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York"
Downy Woodpecker,Dryobates pubescens,/quiz/audio/downy-woodpecker.mp3,/quiz/spectrograms/downy-woodpecker.png,567618,Michael Hurben,,easy,2,United States,"Hyland Lake Park Reserve - Recreation Area (near  Bloomington), Hennepin County, Minnesota"
Red-bellied Woodpecker,Melanerpes carolinus,/quiz/audio/red-bellied-woodpecker.mp3,/quiz/spectrograms/red-bellied-woodpecker.png,1093541,Mario Reyes Jr,true,easy,1,United States,"Arburetum, Lexington, Fayette County, Kentucky"
Northern Flicker,Colaptes auratus,/quiz/audio/northern-flicker.mp3,/quiz/spectrograms/northern-flicker.png,1013307,Stanislas Wroza,true,easy,3,Canada,"Charlevoix (near  Saint-Joseph-de-la-Rive), Capitale-Nationale, Québec"
Yellow-bellied Sapsucker,Sphyrapicus varius,/quiz/audio/yellow-bellied-sapsucker.mp3,/quiz/spectrograms/yellow-bellied-sapsucker.png,815824,Denis Provencher,,medium,2,Canada,"Matawinie (near  Chertsey), Lanaudière, Québec"
Ruby-crowned Kinglet,Corthylio calendula,/quiz/audio/ruby-crowned-kinglet.mp3,/quiz/spectrograms/ruby-crowned-kinglet.png,1034775,Richard E. Webster,,medium,2,United States,"San Bernardino National Wildlife Refuge, Cochise County, Arizona"
Golden-crowned Kinglet,Regulus satrapa,/quiz/audio/golden-crowned-kinglet.mp3,/quiz/spectrograms/golden-crowned-kinglet.png,1029334,Valerie Heemstra,,medium,2,United States,"Maple Ridge Township (near  Saint Nicholas), Delta County, Michigan"
Hermit Thrush,Catharus guttatus,/quiz/audio/hermit-thrush.mp3,/quiz/spectrograms/hermit-thrush.png,933565,William Whitehead,true,medium,2,United States,"Tobyhanna State Park, Monroe County, Pennsylvania"
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,1015038,Stanislas Wroza,true,medium,,Canada,"Bécancour Regional County Municipality (near  Bécancour), Centre-du-Québec, Quebec"
Pine Warbler,Setophaga pinus,/quiz/audio/pine-warbler.mp3,/quiz/spectrograms/pine-warbler.png,1093540,Mario Reyes Jr,true,hard,2,United States,"Arburetum, Lexington, Fayette County, Kentucky"
Black-and-white Warbler,Mniotilta varia,/quiz/audio/black-and-white-warbler.mp3,/quiz/spectrograms/black-and-white-warbler.png,1036380,Bobby Wilcox,,medium,2,United States,"Tama (near  Burlington), Des Moines, Iowa"
Northern Parula,Setophaga americana,/quiz/audio/northern-parula.mp3,/quiz/spectrograms/northern-parula.png,1082098,David Darrell-Lambert,true,medium,2,Canada,"Point Pelee National Park, Essex County, Ontario"
Eastern Phoebe,Sayornis phoebe,/quiz/audio/eastern-phoebe.mp3,/quiz/spectrograms/eastern-phoebe.png,1027244,Jim Berry,true,easy,2,United States,"Jamestown, Chautauqua County, New York"
Red-tailed Hawk,Buteo jamaicensis,/quiz/audio/red-tailed-hawk.mp3,/quiz/spectrograms/red-tailed-hawk.png,1090861,Manuel Grosselet,true,easy,2,United States,"Salinas, Monterey County, California"
American Kestrel,Falco sparverius,/quiz/audio/american-kestrel.mp3,/quiz/spectrograms/american-kestrel.png,674597,JAYRSON ARAUJO DE OLIVEIRA,,easy,2,Brazil,"Reserva do Setor Sítio de Recreio Caraíbas-Goiânia, Goiás"
Baltimore Oriole,Icterus galbula,/quiz/audio/baltimore-oriole.mp3,/quiz/spectrograms/baltimore-oriole.png,1036385,Bobby Wilcox,true,medium,,United States,"Tama (near  Burlington), Des Moines, Iowa"
Ovenbird,Seiurus aurocapilla,/quiz/audio/ovenbird.mp3,/quiz/spectrograms/ovenbird.png,1037293,Bobby Wilcox,,easy,2,United States,"Williamsburg, Hampshire County, Massachusetts"
Laughing Gull,Leucophaeus atricilla,/quiz/audio/laughing-gull.mp3,/quiz/spectrograms/laughing-gull.png,1154,Don Jones,,easy,3,United States,"Cape May County Park, New Jersey"
American Crow,Corvus brachyrhynchos,/quiz/audio/american-crow.mp3,/quiz/spectrograms/american-crow.png,807484,Barry Edmonston,,easy,2,United States,"Cape Cod (near  Barnstable), Barnstable County, Massachusetts"
Fish Crow,Corvus ossifragus,/quiz/audio/fish-crow.mp3,/quiz/spectrograms/fish-crow.png,530410,Taylor Sturm,true,easy,2,United States,"Long Island (near  Northport), Suffolk County, New York"
Blue-headed Vireo,Vireo solitarius,/quiz/audio/blue-headed-vireo.mp3,/quiz/spectrograms/blue-headed-vireo.png,593859,William Whitehead,,medium,2,United States,"Sandy Hook, Monmouth Co., NJ"
Double-crested Cormorant,Nannopterum auritum,/quiz/audio/double-crested-cormorant.mp3,/quiz/spectrograms/double-crested-cormorant.png,611038,Brian Henderson,true,medium,,United States,"Green Lane Park (Walt Rd.), Montgomery County, Pennsylvania"
Scarlet Tanager,Piranga olivacea,/quiz/audio/scarlet-tanager.mp3,/quiz/spectrograms/scarlet-tanager.png,558905,William Whitehead,true,medium,,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Canada Goose,Branta canadensis,/quiz/audio/canada-goose.mp3,/quiz/spectrograms/canada-goose.png,287162,Joe Klaiber,true,easy,,Germany,"Berlin, Berlin"
Rose-breasted Grosbeak,Pheucticus ludovicianus,/quiz/audio/rose-breasted-grosbeak.mp3,/quiz/spectrograms/rose-breasted-grosbeak.png,558664,William Whitehead,,medium,2,United States,"Sandy Hook, Monmouth Co., NJ"
Swamp Sparrow,Melospiza georgiana,/quiz/audio/swamp-sparrow.mp3,/quiz/spectrograms/swamp-sparrow.png,729071,William Whitehead,true,medium,,United States,"Great SWamp NWR, Morris County, New Jersey"
Black-throated Blue Warbler,Setophaga caerulescens,/quiz/audio/black-throated-blue-warbler.mp3,/quiz/spectrograms/black-throated-blue-warbler.png,555000,William Whitehead,true,medium,,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Great Crested Flycatcher,Myiarchus crinitus,/quiz/audio/great-crested-flycatcher.mp3,/quiz/spectrograms/great-crested-flycatcher.png,182575,Jorge de Leon Cardozo and Susan Hochgraf,,easy,2,United States,"Mansfield Hollow State Park, Mansfield, Tolland County, Connecticut"
Prairie Warbler,Setophaga discolor,/quiz/audio/prairie-warbler.mp3,/quiz/spectrograms/prairie-warbler.png,655862,William Whitehead,,medium,2,United States,"Franklin Township, Somerset, New Jersey"
American Herring Gull,Larus smithsonianus,/quiz/audio/american-herring-gull.mp3,/quiz/spectrograms/american-herring-gull.png,1021690,Stanislas Wroza,true,medium,2,Canada,Tadoussac dunes
Brown Thrasher,Toxostoma rufum,/quiz/audio/brown-thrasher.mp3,/quiz/spectrograms/brown-thrasher.png,546731,William Whitehead,,medium,2,United States,"New Jersey Audubon's Scherman Hoffman Wildlife Sanctuary (near  Bernardsville), Somerset County, New Jersey"
Brown Creeper,Certhia americana,/quiz/audio/brown-creeper.mp3,/quiz/spectrograms/brown-creeper.png,50434,William Whitehead,,hard,2,United States,"High Point State Park, Montague, Sussex County, New Jersey"
