commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
Common Yellowthroat,Geothlypis trichas,/quiz/audio/common-yellowthroat.mp3,/quiz/spectrograms/common-yellowthroat.png,720362,William Whitehead,,medium,3,United States,"Great SWamp NWR, Morris County, New Jersey"
Black-and-white Warbler,Mniotilta varia,/quiz/audio/black-and-white-warbler.mp3,/quiz/spectrograms/black-and-white-warbler.png,469587,Rolf A. de By,,medium,2,United States,"Jockey Hollow, Harding Township (near  Morristown), Morris County, New Jersey"
Northern Yellow Warbler,Setophaga aestiva,/quiz/audio/northern-yellow-warbler.mp3,/quiz/spectrograms/northern-yellow-warbler.png,394040,Dominic Garcia-Hall,,medium,2,United States,"Kearny, Hudson County, New Jersey"
Yellow-rumped Warbler,Setophaga coronata,/quiz/audio/yellow-rumped-warbler.mp3,/quiz/spectrograms/yellow-rumped-warbler.png,701682,William Whitehead,true,medium,,United States,"Sandy Hook, Monmouth Co., NJ"
American Redstart,Setophaga ruticilla,/quiz/audio/american-redstart.mp3,/quiz/spectrograms/american-redstart.png,558670,William Whitehead,,medium,2,United States,"Sandy Hook, Monmouth Co., NJ"
Northern Parula,Setophaga americana,/quiz/audio/northern-parula.mp3,/quiz/spectrograms/northern-parula.png,205242,Jennifer Rock,,medium,2,United States,"Piseco Rd., Stratford, Fulton County, New York"
Ovenbird,Seiurus aurocapilla,/quiz/audio/ovenbird.mp3,/quiz/spectrograms/ovenbird.png,558243,William Whitehead,,medium,2,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Black-throated Blue Warbler,Setophaga caerulescens,/quiz/audio/black-throated-blue-warbler.mp3,/quiz/spectrograms/black-throated-blue-warbler.png,555000,William Whitehead,true,medium,,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Northern Waterthrush,Parkesia noveboracensis,/quiz/audio/northern-waterthrush.mp3,/quiz/spectrograms/northern-waterthrush.png,552433,William Whitehead,true,medium,,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Magnolia Warbler,Setophaga magnolia,/quiz/audio/magnolia-warbler.mp3,/quiz/spectrograms/magnolia-warbler.png,893267,Brian Henderson,,medium,1,United States,"SGL 236, Herrick Township (near  Union Dale), Susquehanna County, Pennsylvania"
Blackpoll Warbler,Setophaga striata,/quiz/audio/blackpoll-warbler.mp3,/quiz/spectrograms/blackpoll-warbler.png,316998,Jerald R,,medium,2,United States,"Dover, Kent County, Delaware"
Black-throated Green Warbler,Setophaga virens,/quiz/audio/black-throated-green-warbler.mp3,/quiz/spectrograms/black-throated-green-warbler.png,135117,Dan Lane,,medium,2,United States,"Pequonnock watershead, Passic Co., NJ"
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,410779,William Whitehead,,medium,2,United States,"Woodbridge Township, Middlesex County, New Jersey"
Chestnut-sided Warbler,Setophaga pensylvanica,/quiz/audio/chestnut-sided-warbler.mp3,/quiz/spectrograms/chestnut-sided-warbler.png,101827,Daniel Lane,,medium,2,United States,"S of Old Mine Rd X Millbrook Rd, Delaware Water Gap area, Warren Co., NJ"
Pine Warbler,Setophaga pinus,/quiz/audio/pine-warbler.mp3,/quiz/spectrograms/pine-warbler.png,553224,William Whitehead,,medium,2,United States,"New Jersey (near  Matawan), Middlesex County, New Jersey"
Canada Warbler,Cardellina canadensis,/quiz/audio/canada-warbler.mp3,/quiz/spectrograms/canada-warbler.png,476104,William Whitehead,true,medium,,United States,"Ernest Oros Nature Preserve, Avenel, New Jersey"
Prairie Warbler,Setophaga discolor,/quiz/audio/prairie-warbler.mp3,/quiz/spectrograms/prairie-warbler.png,655862,William Whitehead,,medium,2,United States,"Franklin Township, Somerset, New Jersey"
Nashville Warbler,Leiothlypis ruficapilla,/quiz/audio/nashville-warbler.mp3,/quiz/spectrograms/nashville-warbler.png,225335,Paul Marvin,,medium,2,United States,"Whiteface Montain trail, New York"
Bay-breasted Warbler,Setophaga castanea,/quiz/audio/bay-breasted-warbler.mp3,/quiz/spectrograms/bay-breasted-warbler.png,101909,Daniel Lane,true,medium,,United States,"Garret Mountain Reservation, Passaic Co., NJ"
Blackburnian Warbler,Setophaga fusca,/quiz/audio/blackburnian-warbler.mp3,/quiz/spectrograms/blackburnian-warbler.png,469596,Rolf A. de By,,medium,2,United States,"Great SWamp NWR, Morris County, New Jersey"
Wilson's Warbler,Cardellina pusilla,/quiz/audio/wilson-s-warbler.mp3,/quiz/spectrograms/wilson-s-warbler.png,393960,Dominic Garcia-Hall,,medium,2,United States,"Steven's Institute Cliffs, Hoboken, Hudson County, New Jersey"
Cape May Warbler,Setophaga tigrina,/quiz/audio/cape-may-warbler.mp3,/quiz/spectrograms/cape-may-warbler.png,784609,Paul Driver,,medium,2,United States,"Lower Moreland Township (near  Bryn Athyn), Montgomery County, Pennsylvania"
Louisiana Waterthrush,Parkesia motacilla,/quiz/audio/louisiana-waterthrush.mp3,/quiz/spectrograms/louisiana-waterthrush.png,554914,William Whitehead,,medium,2,United States,"New Jersey Audubon's Scherman Hoffman Wildlife Sanctuary (near  Bernardsville), Somerset County, New Jersey"
Blue-winged Warbler,Vermivora cyanoptera,/quiz/audio/blue-winged-warbler.mp3,/quiz/spectrograms/blue-winged-warbler.png,469578,Rolf A. de By,,medium,2,United States,"Jockey Hollow, Harding Township (near  Morristown), Morris County, New Jersey"
Hooded Warbler,Setophaga citrina,/quiz/audio/hooded-warbler.mp3,/quiz/spectrograms/hooded-warbler.png,381715,Nicholas Comparato,,medium,2,United States,"Doodletown Road, Bear Mountain, Rockland, New York"
Worm-eating Warbler,Helmitheros vermivorum,/quiz/audio/worm-eating-warbler.mp3,/quiz/spectrograms/worm-eating-warbler.png,101645,Daniel Lane,true,medium,,United States,"Wildcat Mountain WMA, Morris Co, NJ"
Tennessee Warbler,Leiothlypis peregrina,/quiz/audio/tennessee-warbler.mp3,/quiz/spectrograms/tennessee-warbler.png,335875,Dylan Pedro,true,medium,,United States,"Neutaconkanut Park, Providence, Providence County, Rhode Island"
Prothonotary Warbler,Protonotaria citrea,/quiz/audio/prothonotary-warbler.mp3,/quiz/spectrograms/prothonotary-warbler.png,478658,William Whitehead,true,medium,,United States,"Bernards, Somerset County, New Jersey"
Yellow-throated Warbler,Setophaga dominica,/quiz/audio/yellow-throated-warbler.mp3,/quiz/spectrograms/yellow-throated-warbler.png,179416,Paul Driver,,medium,2,United States,"Upper Hanover (near  Pennsburg), Montgomery, Pennsylvania"
Kentucky Warbler,Geothlypis formosa,/quiz/audio/kentucky-warbler.mp3,/quiz/spectrograms/kentucky-warbler.png,394044,Dominic Garcia-Hall,true,medium,,United States,"Doodletown Road, Bear Mountain, Rockland, New York"
Yellow-rumped Warbler,Setophaga coronata,/quiz/audio/yellow-rumped-warbler.mp3,/quiz/spectrograms/yellow-rumped-warbler.png,469599,Rolf A. de By,,medium,2,United States,"Great SWamp NWR, Morris County, New Jersey"
Black-throated Blue Warbler,Setophaga caerulescens,/quiz/audio/black-throated-blue-warbler.mp3,/quiz/spectrograms/black-throated-blue-warbler.png,101928,Daniel Lane,,medium,2,United States,"Millbrook Rd at Appalachian Trail, Delaware Water Gap area, Warren Co., NJ"
Northern Waterthrush,Parkesia noveboracensis,/quiz/audio/northern-waterthrush.mp3,/quiz/spectrograms/northern-waterthrush.png,720041,William Whitehead,true,medium,,United States,"Ernest Oros Nature Preserve, Avenel, New Jersey"
Canada Warbler,Cardellina canadensis,/quiz/audio/canada-warbler.mp3,/quiz/spectrograms/canada-warbler.png,414864,William Whitehead,true,medium,,United States,"Matawan, Middlesex County, New Jersey"
Bay-breasted Warbler,Setophaga castanea,/quiz/audio/bay-breasted-warbler.mp3,/quiz/spectrograms/bay-breasted-warbler.png,184374,Paul Driver,,medium,2,United States,"Providence, Providence, Rhode Island"
Worm-eating Warbler,Helmitheros vermivorum,/quiz/audio/worm-eating-warbler.mp3,/quiz/spectrograms/worm-eating-warbler.png,101626,Daniel Lane,,medium,2,United States,"Wildcat Mountain WMA, Morris Co, NJ"
Tennessee Warbler,Leiothlypis peregrina,/quiz/audio/tennessee-warbler.mp3,/quiz/spectrograms/tennessee-warbler.png,908347,Thomas Ryder Payne,,medium,2,Canada,"Toronto, Toronto Division, Ontario"
Prothonotary Warbler,Protonotaria citrea,/quiz/audio/prothonotary-warbler.mp3,/quiz/spectrograms/prothonotary-warbler.png,565260,Will Sweet,,medium,2,United States,"Cape Cod (near  Mashpee), Barnstable County, Massachusetts"
Kentucky Warbler,Geothlypis formosa,/quiz/audio/kentucky-warbler.mp3,/quiz/spectrograms/kentucky-warbler.png,184216,Paul Driver,true,medium,,United States,"Glassboro, NJ"
Northern Waterthrush,Parkesia noveboracensis,/quiz/audio/northern-waterthrush.mp3,/quiz/spectrograms/northern-waterthrush.png,414207,William Whitehead,true,medium,,United States,"Woodbridge Township, Middlesex County, New Jersey"
Canada Warbler,Cardellina canadensis,/quiz/audio/canada-warbler.mp3,/quiz/spectrograms/canada-warbler.png,562140,William Whitehead,,medium,2,United States,"Delaware Water Gap area, Warren Co., NJ"
Kentucky Warbler,Geothlypis formosa,/quiz/audio/kentucky-warbler.mp3,/quiz/spectrograms/kentucky-warbler.png,184215,Paul Driver,,medium,2,United States,"Glassboro, NJ"
Northern Waterthrush,Parkesia noveboracensis,/quiz/audio/northern-waterthrush.mp3,/quiz/spectrograms/northern-waterthrush.png,573427,William Whitehead,true,medium,,United States,"Scotch Plains, Union County, New Jersey"
Northern Waterthrush,Parkesia noveboracensis,/quiz/audio/northern-waterthrush.mp3,/quiz/spectrograms/northern-waterthrush.png,475116,William Whitehead,,medium,2,United States,"Scotch Plains, Union County, New Jersey"
